movie_id,f_rep,percent_profit,vote_average
122906,0.5833,725.84,7.9
123025,0.2500,NULL,7.7
127585,0.2500,299.15,7.5
132344,0.3333,372.55,7.4
132363,0.3529,463.69,7.4
137106,0.1500,781.93,7.4
137113,0.1667,208.17,7.6
138843,0.5385,2457.65,7.5
140607,0.2558,844.17,7.4
140823,0.5000,321.56,7.4
142061,0.2857,NULL,7.9
146233,0.2500,265.49,8
150540,0.2941,490.06,8
152532,0.1429,1103.97,7.9
152601,0.6154,205.88,7.9
152603,0.3333,NULL,7.4
152742,0.4000,142.64,7.8
157336,0.2941,409.16,8.2
157354,0.2000,NULL,7.4
158999,0.5000,NULL,7.9
159014,0.5000,589.25,7.4
166428,0.3333,401.18,7.6
169813,0.4000,NULL,7.9
176241,0.2857,NULL,7.5
177572,0.2143,398.68,7.8
183011,0.1333,NULL,7.5
185789,0.2308,NULL,7.9
190859,0.0667,922.29,7.4
194662,0.6364,573.42,7.4
200727,0.5000,NULL,7.8
203833,0.3333,NULL,7.5
205220,0.3333,834.42,7.4
205596,0.1538,1668.26,8.1
206487,0.5000,54.55,7.4
207703,0.2000,511.55,7.6
210024,0.2500,NULL,8
210577,0.5789,605.46,7.9
211387,0.1667,NULL,7.6
222935,0.4444,2559.72,7.6
228205,0.5714,185.33,7.5
228326,0.1765,194.87,7.4
234200,0.3000,NULL,7.9
234567,0.5000,NULL,7.6
242582,0.2000,591.76,7.7
244267,0.5714,NULL,7.6
244786,0.2857,396.73,8.4
246741,0.2500,391.45,7.6
258480,0.7500,NULL,7.4
259316,0.4667,449.63,7.4
260513,0.3125,620.95,7.6
263115,0.1429,635.88,7.8
264644,0.5714,590.03,8.1
264660,0.4000,245.80,7.6
266856,0.5455,824.84,7.9
269149,0.4286,682.52,7.7
271110,0.2759,480.54,7.4
271674,0.5714,60.70,7.4
273248,0.2500,354.00,7.7
273895,0.2105,333.94,7.5
277216,0.0833,720.12,7.7
277834,0.1429,463.55,7.5
281979,0.6250,NULL,8.1
281982,0.2000,NULL,8.4
282758,0.5000,NULL,8
282848,0.6667,NULL,8.2
282963,0.5000,NULL,7.6
283591,0.2857,NULL,7.4
283995,0.3462,431.88,7.7
284053,0.0909,474.43,7.5
284054,0.2500,673.37,7.4
284293,0.4286,877.69,7.5
284689,0.5000,NULL,7.4
286217,0.3571,583.48,7.7
289222,0.2500,116.50,7.4
290542,0.7000,NULL,7.4
290762,0.5714,NULL,7.4
291984,0.6000,NULL,7.7
293660,0.5385,1350.17,7.6
293863,0.5000,262.65,7.4
296096,0.6250,1039.73,7.7
299534,0.3810,784.35,8.4
299536,0.3095,682.08,8.3
301528,0.3333,297.03,7.7
301959,0.3333,NULL,7.9
304357,0.4286,560.18,7.4
306819,0.5000,427.94,7.7
308369,0.2727,NULL,7.6
309809,0.1875,152.46,7.6
313106,0.3333,NULL,8.3
313297,0.4000,116.55,7.7
313369,0.3125,1484.79,7.9
314365,0.1111,441.73,7.8
315620,0.3333,NULL,8.2
315635,0.2647,502.95,7.4
316029,0.3750,515.29,8
317182,0.6000,NULL,7.9
317190,0.3333,NULL,7.6
318121,0.4000,NULL,7.4
318224,0.5556,NULL,7.7
318781,0.6000,25.86,7.4
324786,0.1538,438.26,8.1
324857,0.4375,417.17,8.4
329865,0.1111,432.74,7.4
330459,0.1379,528.03,7.5
332562,0.2222,1205.25,7.5
333339,0.5000,333.08,7.6
334533,0.6000,117.59,8
334541,0.5556,833.63,7.5
334543,0.5000,1169.27,8.2
335984,0.3846,172.83,7.4
337960,0.2500,NULL,8
339380,0.4167,NULL,7.5
339403,0.1818,667.49,7.4
339877,0.3333,122.46,8.2
340666,0.6111,130.01,7.4
342737,0.6250,80.93,7.4
346648,0.5000,464.62,7.5
354912,0.1667,457.44,8.2
359784,0.3333,NULL,7.7
359940,0.4167,1056.85,8.2
369145,0.2500,NULL,8
369295,0.5000,NULL,7.7
369557,0.5000,340.61,8
371738,1.0000,NULL,7.4
371759,0.5000,NULL,8.2
375262,0.6000,547.50,7.6
376290,0.3750,70.01,7.5
376867,0.2857,1626.17,7.4
379170,0.4000,NULL,8
381028,1.0000,NULL,7.8
381284,0.3636,922.80,8
382614,0.5000,45.05,7.5
383498,0.2308,674.13,7.5
387426,0.4000,NULL,7.5
389015,0.7000,490.36,7.5
391698,0.4000,NULL,7.6
395834,0.3333,409.08,7.4
398818,0.2500,1026.59,8.3
399174,0.4500,102.29,7.9
400928,0.6667,576.33,7.9
404378,0.2500,1.03,7.5
406997,0.4444,NULL,8.2
407445,0.5000,NULL,7.5
407449,0.1667,NULL,7.5
410718,0.1667,NULL,7.9
414419,0.4545,NULL,7.9
414425,0.2857,NULL,7.6
416477,0.4286,1126.07,7.5
417261,0.5000,467.64,7.4
419430,0.4444,5675.73,7.5
419478,0.6667,NULL,7.7
420814,0.2000,132.19,7.4
424694,0.1000,1719.28,8.1
429617,0.2353,613.78,7.8
432517,0.2222,NULL,8.4
433498,0.1667,NULL,7.4
435129,1.0000,NULL,7.9
437586,0.6667,2671.80,7.4
449176,0.4444,357.93,8.2
450945,0.2857,NULL,7.6
451480,0.4286,NULL,7.7
451915,0.5556,NULL,7.6
452522,0.4667,NULL,8.3
466272,0.3333,17.74,7.4
466282,0.5714,NULL,7.9
467062,0.2000,NULL,7.5
469019,0.1818,NULL,7.6
470044,0.5000,126.80,8.2
470878,0.6667,NULL,7.6
472424,0.5000,NULL,7.7
487670,0.2143,NULL,7.4
489925,0.5000,676.99,7.4
489930,0.3333,NULL,7.6
489999,0.6667,6626.52,7.6
490132,0.3750,1390.00,8.3
491418,0.5000,30.63,7.6
504608,0.3750,418.31,7.6
527641,0.6667,NULL,8.2
568332,1.0000,NULL,8.1
593691,0.4286,NULL,8.6
